unix,date,symbol,open,high,low,close,Volume BNB,Volume USDT,tradecount
1.60419E+12,2020/11/1 0:00,BNB/USDT,28.509,28.685,28.105,28.568,1166370.6,33014941.39,192137
1.6041E+12,2020/10/31 0:00,BNB/USDT,28.51,28.91,28.12,28.504,1636871.66,46758164.52,195216
1.60402E+12,2020/10/30 0:00,BNB/USDT,29.847,30.19,27.451,28.509,3609401.75,103053427.8,261142
1.60393E+12,2020/10/29 0:00,BNB/USDT,30.322,30.423,29.46,29.845,2307279.52,69274701.8,193915
1.60384E+12,2020/10/28 0:00,BNB/USDT,31.415,31.93,29.75,30.322,2931609.08,90172790.58,229224
1.60376E+12,2020/10/27 0:00,BNB/USDT,31.021,32.448,30.821,31.423,4314842.52,136505610.8,299644
1.60367E+12,2020/10/26 0:00,BNB/USDT,30.104,31.37,29.925,31.022,3277614.79,100829281.6,269375
1.60358E+12,2020/10/25 0:00,BNB/USDT,30.629,30.99,29.85,30.107,1470943,44621956.39,188414
1.6035E+12,2020/10/24 0:00,BNB/USDT,30.63,30.85,30.407,30.629,927606.27,28407425.21,182746
1.60341E+12,2020/10/23 0:00,BNB/USDT,30.658,31.186,30.065,30.63,1900619.78,58321199.16,210472
1.60332E+12,2020/10/22 0:00,BNB/USDT,29.732,31.28,29.682,30.663,2969500.15,91236980.69,240025
1.60324E+12,2020/10/21 0:00,BNB/USDT,28.832,30.42,28.651,29.734,3038475.7,90105737.91,248968
1.60315E+12,2020/10/20 0:00,BNB/USDT,29.899,30.089,28.5,28.831,2639829.66,77200628.41,233487
1.60307E+12,2020/10/19 0:00,BNB/USDT,30.6,30.672,29.7,29.899,2176988.84,65566585.08,188301
1.60298E+12,2020/10/18 0:00,BNB/USDT,30.202,30.95,30.132,30.599,1838350.02,56278918.93,187100
1.60289E+12,2020/10/17 0:00,BNB/USDT,30.031,30.56,29.666,30.2,1681259.96,50831262.91,185620
1.60281E+12,2020/10/16 0:00,BNB/USDT,31.299,31.891,29.56,30.026,4453919.08,135915671.4,270277
1.60272E+12,2020/10/15 0:00,BNB/USDT,30.804,31.701,30.332,31.3,3225994.49,100104158.1,224767
1.60263E+12,2020/10/14 0:00,BNB/USDT,30.623,31.335,30.305,30.8,2709570.37,83303054.48,226370
1.60255E+12,2020/10/13 0:00,BNB/USDT,30.64,31.701,29.957,30.622,4480813.93,138190027.7,311162
1.60246E+12,2020/10/12 0:00,BNB/USDT,28.502,31.1,28.428,30.638,5798244.2,174459464.2,382835
1.60237E+12,2020/10/11 0:00,BNB/USDT,28.359,28.725,27.833,28.501,1513440.09,42924537.83,215914
1.60229E+12,2020/10/10 0:00,BNB/USDT,28.373,29.231,28.077,28.359,1885181.08,54009128.58,196466
1.6022E+12,2020/10/9 0:00,BNB/USDT,27.669,28.49,27.43,28.373,1976557.32,55586179.42,191766
1.60212E+12,2020/10/8 0:00,BNB/USDT,27.664,27.82,26.51,27.669,2264352.22,61698287.53,214701
1.60203E+12,2020/10/7 0:00,BNB/USDT,27.685,27.855,26.836,27.667,2141195.2,58645788.08,210656
1.60194E+12,2020/10/6 0:00,BNB/USDT,28.616,28.94,27.277,27.687,3309469.96,93065834.94,244668
1.60186E+12,2020/10/5 0:00,BNB/USDT,28.973,29.185,28.069,28.616,2309511.07,66114844.82,201189
1.60177E+12,2020/10/4 0:00,BNB/USDT,28.133,29.13,27.85,28.961,2848752.58,81396896.08,213753
1.60168E+12,2020/10/3 0:00,BNB/USDT,27.302,28.255,27.005,28.133,2486140.18,68850321.44,207457
1.6016E+12,2020/10/2 0:00,BNB/USDT,27.454,28.091,25.57,27.285,5191308.82,139626232.9,306865
1.60151E+12,2020/10/1 0:00,BNB/USDT,29.2,29.305,26.193,27.455,4434355.39,122785759.1,286923
1.60142E+12,2020/9/30 0:00,BNB/USDT,28.823,29.549,27.78,29.2,3456590.9,98788798.56,247478
1.60134E+12,2020/9/29 0:00,BNB/USDT,26.973,28.948,26.834,28.822,4414780.77,123765808.4,277562
1.60125E+12,2020/9/28 0:00,BNB/USDT,26.221,27.67,25.83,26.973,3293265.26,87999340.79,234950
1.60116E+12,2020/9/27 0:00,BNB/USDT,26.162,26.85,25.466,26.219,2814420.58,73583942.38,210322
1.60108E+12,2020/9/26 0:00,BNB/USDT,24.674,26.444,24.454,26.162,2570949.91,65213602.11,204154
1.60099E+12,2020/9/25 0:00,BNB/USDT,24.56,25.089,23.726,24.677,2493303.3,60960004.07,202904
1.60091E+12,2020/9/24 0:00,BNB/USDT,22.839,24.679,22.562,24.56,2921696.68,69421492.26,214359
1.60082E+12,2020/9/23 0:00,BNB/USDT,24.051,24.366,22.435,22.839,3723770.38,87786524.86,238921
1.60073E+12,2020/9/22 0:00,BNB/USDT,23.12,24.594,22.662,24.051,4183191.74,99434903.05,268247
1.60065E+12,2020/9/21 0:00,BNB/USDT,26.329,26.652,22.2,23.12,6839808.24,164562531.4,385956
1.60056E+12,2020/9/20 0:00,BNB/USDT,27.226,27.374,25.111,26.324,3280892.1,86220094.17,243228
1.60047E+12,2020/9/19 0:00,BNB/USDT,27.66,28.054,26.685,27.226,2224710.77,60715927.16,197892
1.60039E+12,2020/9/18 0:00,BNB/USDT,26.988,28.824,26.607,27.653,4628880.8,128158883.1,321221
1.6003E+12,2020/9/17 0:00,BNB/USDT,27.816,28.741,26.055,26.989,4643696.37,125488111.7,298716
1.60021E+12,2020/9/16 0:00,BNB/USDT,27.088,28.3,25.577,27.816,6869769.43,186794766.9,356566
1.60013E+12,2020/9/15 0:00,BNB/USDT,30.867,30.899,26.688,27.086,10130811.09,289951438.1,487163
1.60004E+12,2020/9/14 0:00,BNB/USDT,31.139,33.302,29.05,30.856,10524610.07,328626618.3,531838
1.59996E+12,2020/9/13 0:00,BNB/USDT,28.397,32.36,28.006,31.142,9514711.33,288627963.9,478365
1.59987E+12,2020/9/12 0:00,BNB/USDT,25.347,28.507,25.325,28.395,5342732.98,143932672.5,308161
