code,short_name,provider,history_start_date,currency,type,style,factor,asset_class,region,return_type,inception_date,index_source,return_category,,,,,,
MQCP778E,Macquarie Commodity Risk Premium 10X,Macquarie,2009/8/28,USD,Strategy,Alpha,Multi,Commodity,Global,Excess Return,2020/10/22,Macquarie Bank Limited,-,,,,,,
NMCOLN1,Nomura Nickel 1st to Expire Futures,Nomura,1997/9/8,USD,Strategy,Beta,Multi,Commodity,Global,Excess Return,2019/9/3,Nomura International Plc.,Gross,,,,,,
NMCOTBO1,Nomura Soybean Oil 1st to Expire Trend,Nomura,1971/6/7,USD,Strategy,Alpha,Momentum,Commodity,Global,Excess Return,2019/9/3,Nomura International Plc.,Net,,,,,,
NMCOTHO1,Nomura Heating Oil 1st to Expire Trend,Nomura,1981/2/6,USD,Strategy,Alpha,Momentum,Commodity,Global,Excess Return,2019/9/3,Nomura International Plc.,Net,,,,,,
NMCOTQS1,Nomura Gas Oil 1st to Expire Trend,Nomura,1985/6/7,USD,Strategy,Alpha,Momentum,Commodity,Global,Excess Return,2019/9/3,Nomura International Plc.,Net,,,,,,
code,period,Return p.a.,Cumulative Return,Volatility,Sharpe Ratio,Skew,Kurtosis,Calmar Ratio,Omega Ratio,Sortino Ratio,VaR,MVaR,CVaR,Avg Drawdown,Max Drawdown,Worst 20D,Positive Weeks (%),Positive Months (%),Info Ratio
2014/1/2,358.6712,249.382,589.092,234.893,1156.971,,,,,,,,,,,,,,
2014/1/3,357.9546,246.501,593.994,233.592,1147.543,,,,,,,,,,,,,,
2014/1/6,356.4091,241.354,605.533,233.575,1147.346,,,,,,,,,,,,,,
2014/1/7,355.2107,240.56,610.034,233.74,1147.262,,,,,,,,,,,,,,
2014/1/8,357.5802,240.756,616.152,233.775,1147.439,,,,,,,,,,,,,,
2014/1/9,358.7024,237.621,607.138,234.148,1147.447,,,,,,,,,,,,,,
2014/1/10,359.1892,246.727,598.218,233.693,1148.503,,,,,,,,,,,,,,
2014/1/13,357.2664,253.021,611.342,233.979,1146.661,,,,,,,,,,,,,,
2014/1/14,356.5524,255.338,614.055,234.03,1149.072,,,,,,,,,,,,,,
2014/1/15,357.181,258.83,606.106,232.848,1143.863,,,,,,,,,,,,,,
2014/1/16,355.6152,261.681,604.036,233.102,1146.555,,,,,,,,,,,,,,
2014/1/17,356.8338,261.663,614.85,232.359,1143.11,,,,,,,,,,,,,,
2014/1/20,356.8368,,,,,,,,,,,,,,,,,,
2014/1/21,356.4158,262.197,602.063,232.46,1141.953,,,,,,,,,,,,,,
2014/1/22,355.5196,263.427,611.412,231.5,1141.531,,,,,,,,,,,,,,
2014/1/23,354.3198,261.146,610.686,231.261,1140.445,,,,,,,,,,,,,,
2014/1/24,352.2242,257.921,621.894,230.856,1140.79,,,,,,,,,,,,,,
2014/1/27,356.9709,251.81,638.358,231.427,1141.776,,,,,,,,,,,,,,
2014/1/28,356.2786,251.578,626.679,231.243,1141.316,,,,,,,,,,,,,,
2014/1/29,354.0364,248.817,636.984,231.055,1140.54,,,,,,,,,,,,,,
2014/1/30,354.928,245.681,638.014,231.001,1140.362,,,,,,,,,,,,,,
2014/1/31,353.8621,248.71,617.875,231.147,1141.756,,,,,,,,,,,,,,
2014/2/3,353.4282,246.901,624.684,231.169,1143.942,,,,,,,,,,,,,,
2014/2/4,349.8883,246.358,615.416,230.983,1143.575,,,,,,,,,,,,,,
2014/2/5,351.2175,244.763,597.069,231.195,1143.887,,,,,,,,,,,,,,
2014/2/6,354.7154,248.763,582.025,231.16,1143.815,,,,,,,,,,,,,,
2014/2/7,356.9378,251.578,585.379,232.118,1142.815,,,,,,,,,,,,,,
2014/2/10,358.1257,252.658,579.856,231.517,1142.343,,,,,,,,,,,,,,
2014/2/11,358.3241,251.926,576.138,231.882,1142.128,,,,,,,,,,,,,,
2014/2/12,358.9039,256.111,571.37,231.735,1142.142,,,,,,,,,,,,,,
2014/2/13,359.3573,251.283,555.057,231.882,1142.316,,,,,,,,,,,,,,
2014/2/14,358.9014,253.516,565.736,232.188,1142.157,,,,,,,,,,,,,,
2014/2/17,359.526,,,,,,,,,,,,,,,,,,
2014/2/18,358.114,257.227,534.07,232.594,1141.475,,,,,,,,,,,,,,
2014/2/19,359.7096,258.206,537.569,233.005,1141.193,,,,,,,,,,,,,,
2014/2/20,360.747,255.528,530.408,233.208,1141.139,,,,,,,,,,,,,,
2014/2/21,361.5805,255.528,521.089,232.26,1140.832,,,,,,,,,,,,,,
2014/2/24,358.966,254.94,525.392,232.529,1141.087,,,,,,,,,,,,,,
2014/2/25,359.7055,254.397,529.079,232.196,1141.063,,,,,,,,,,,,,,
2014/2/26,358.4757,252.92,517.116,232.259,1141.012,,,,,,,,,,,,,,
2014/2/27,359.3133,257.032,523.015,231.834,1142.175,,,,,,,,,,,,,,
2014/2/28,360.4799,261.962,511.89,231.93,1141.593,,,,,,,,,,,,,,
2014/3/3,356.3497,262.104,502.209,232.395,1135.978,,,,,,,,,,,,,,
2014/3/4,357.8833,269.58,482.204,232.125,1142.015,,,,,,,,,,,,,,
2014/3/5,355.637,271.681,486.147,231.707,1144.164,,,,,,,,,,,,,,
2014/3/6,356.4861,275.214,476.115,231.616,1146.295,,,,,,,,,,,,,,
2014/3/7,355.4242,272.054,477.063,231.85,1143.21,,,,,,,,,,,,,,
2014/3/10,355.6806,274.76,477.373,231.43,1145.128,,,,,,,,,,,,,,
2014/3/11,355.0422,276.487,477.135,231.38,1144.905,,,,,,,,,,,,,,
